2022-11-02 17:28:52,173 INFO     ts_ms:1667410100013 stream:{'bits_per_second': 6128832, 'snd_cwnd': 94120, 'retransmits': 0, 'rttvar': 17539, 'end': 3.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 81690, 'bytes': 766104, 'start': 2.000055}
2022-11-02 17:28:52,173 INFO     ts_ms:1667410101013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 81088, 'retransmits': 0, 'rttvar': 12684, 'end': 4.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 72781, 'bytes': 262144, 'start': 3.000055}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410102013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 43440, 'retransmits': 0, 'rttvar': 15268, 'end': 5.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 97772, 'bytes': 262144, 'start': 4.000055}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410103013 stream:{'bits_per_second': 1048571.7500172256, 'snd_cwnd': 83984, 'retransmits': 0, 'rttvar': 12156, 'end': 6.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000040531158447, 'omitted': False, 'sender': True, 'rtt': 97307, 'bytes': 131072, 'start': 5.000055}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410104013 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 85432, 'retransmits': 0, 'rttvar': 12547, 'end': 7.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 108576, 'bytes': 262144, 'start': 6.000059}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410105013 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 83984, 'retransmits': 0, 'rttvar': 11289, 'end': 8.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 107345, 'bytes': 262144, 'start': 7.000056}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410106013 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 85432, 'retransmits': 0, 'rttvar': 17867, 'end': 9.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 104690, 'bytes': 262144, 'start': 8.000059}
2022-11-02 17:28:52,174 INFO     ts_ms:1667410107013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 83984, 'retransmits': 0, 'rttvar': 12190, 'end': 10.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 107514, 'bytes': 262144, 'start': 9.000056}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410108013 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 85432, 'retransmits': 0, 'rttvar': 13611, 'end': 11.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 110088, 'bytes': 262144, 'start': 10.000056}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410109013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 59368, 'retransmits': 1, 'rttvar': 8360, 'end': 12.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 77387, 'bytes': 262144, 'start': 11.000055}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410110013 stream:{'bits_per_second': 2097143.5000344513, 'snd_cwnd': 62264, 'retransmits': 0, 'rttvar': 9090, 'end': 13.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000040531158447, 'omitted': False, 'sender': True, 'rtt': 85010, 'bytes': 262144, 'start': 12.000055}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410111013 stream:{'bits_per_second': 2097160.3750334457, 'snd_cwnd': 63712, 'retransmits': 0, 'rttvar': 12517, 'end': 14.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999960064888, 'omitted': False, 'sender': True, 'rtt': 48255, 'bytes': 262144, 'start': 13.000059}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410112013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 62264, 'retransmits': 0, 'rttvar': 6316, 'end': 15.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 44957, 'bytes': 262144, 'start': 14.000055}
2022-11-02 17:28:52,175 INFO     ts_ms:1667410113013 stream:{'bits_per_second': 2097152, 'snd_cwnd': 34752, 'retransmits': 0, 'rttvar': 7694, 'end': 16.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 89630, 'bytes': 262144, 'start': 15.000055}
